"version_full";"date (yyyy-mm-dd)"
"16.0.0.257";"2015-01-13"
"16.0.0.287";"2015-01-22"
"16.0.0.296";"2015-01-27"
"16.0.0.305";"2015-02-05"
"17.0.0.134";"2015-03-12"
"17.0.0.169";"2015-04-14"
"17.0.0.188";"2015-05-12"
"17.0.0.190";"2015-06-23"
"17.0.0.191";"2015-07-08"
"18.0.0.160";"2015-06-09"
"18.0.0.194";"2015-06-23"
"18.0.0.203";"2015-07-08"
"18.0.0.209";"2015-07-14"
"18.0.0.232";"2015-08-11"
"18.0.0.241";"2015-09-21"
"18.0.0.252";"2015-10-13"
"18.0.0.255";"2015-10-16"
"18.0.0.261";"2015-11-10"
"18.0.0.268";"2015-12-08"
"18.0.0.324";"2015-12-28"
"18.0.0.329";"2016-02-09"
"18.0.0.333";"2016-03-10"
"18.0.0.343";"2016-04-07"
"18.0.0.352";"2016-05-12"
"18.0.0.360";"2016-06-16"
"18.0.0.366";"2016-07-12"
"18.0.0.375";"2016-09-13"
"18.0.0.382";"2016-10-11"
"19.0.0.185";"2015-09-21"
"19.0.0.207";"2015-10-13"
"19.0.0.226";"2015-10-16"
"19.0.0.245";"2015-11-10"
"20.0.0.228";"2015-12-08"
"20.0.0.235";"2015-12-08"
"20.0.0.286";"2016-01-19"
"20.0.0.306";"2016-02-09"
"21.0.0.182";"2016-03-10"
"21.0.0.197";"2016-03-23"
"21.0.0.213";"2016-04-07"
"21.0.0.242";"2016-05-12"
"22.0.0.192";"2016-06-16"
"22.0.0.209";"2016-07-12"
"23.0.0.162";"2016-09-13"
"23.0.0.185";"2016-10-11"
"23.0.0.205";"2016-10-26"
"23.0.0.207";"2016-11-08"
"24.0.0.186";"2016-12-13"
"24.0.0.194";"2017-01-10"
"24.0.0.221";"2017-02-14"
"25.0.0.127";"2017-03-14"
"25.0.0.148";"2017-04-11"
"25.0.0.163";"2017-04-20"
"25.0.0.171";"2017-05-09"
"26.0.0.126";"2017-06-13"
"26.0.0.131";"2017-06-16"
"26.0.0.137";"2017-07-11"
"26.0.0.151";"2017-08-08"
"27.0.0.130";"2017-09-12"
"27.0.0.159";"2017-10-10"
"27.0.0.170";"2017-10-16"
"27.0.0.183";"2017-10-25"
"27.0.0.187";"2017-11-14"
"28.0.0.126";"2017-12-12"
"28.0.0.137";"2018-01-09"
"28.0.0.161";"2018-02-06"
"29.0.0.113";"2018-03-13"
"29.0.0.140";"2018-04-10"
"29.0.0.171";"2018-05-08"
"30.0.0.113";"2018-06-07"
"30.0.0.134";"2018-07-10"
"30.0.0.154";"2018-08-14"
"31.0.0.108";"2018-09-11"
"31.0.0.122";"2018-10-09"
"31.0.0.148";"2018-11-13"
"31.0.0.153";"2018-11-20"
"32.0.0.101";"2018-12-05"
"32.0.0.114";"2019-01-08"
"32.0.0.142";"2019-02-12"
"32.0.0.156";"2019-03-12"
"32.0.0.171";"2019-04-09"
"32.0.0.192";"2019-05-14"
"32.0.0.207";"2019-06-11"
"32.0.0.223";"2019-07-09"
"32.0.0.238";"2019-08-13"
"32.0.0.255";"2019-09-11"
