"version_full";"date (yyyy-mm-dd)"
"7.66";"2019-04-17"
"7.67";"2019-05-08"
"7.68";"2019-12-04"
"7.69";"2019-12-18"
"7.7";"2011-07-28"
"7.70";"2020-05-20"
"7.71";"2020-06-03"
"7.72";"2020-06-17"
"7.73";"2020-09-16"
"7.74";"2020-11-18"
"7.75";"2020-11-26"
"7.76";"2020-12-02"
"7.77";"2020-12-03"
"7.78";"2021-01-20"
"7.79";"2021-04-07"
"7.8";"2011-08-31"
"7.80";"2021-04-21"
"7.81";"2021-06-02"
"7.82";"2021-07-21"
"7.9";"2011-10-26"
"7.x-dev";"2008-07-02"
"8.0-alpha10";"2014-03-19"
"8.0-alpha11";"2014-04-23"
"8.0-alpha12";"2014-05-28"
"8.0-alpha13";"2014-07-02"
"8.0-alpha2";"2013-06-24"
"8.0-alpha3";"2013-09-04"
"8.0-alpha4";"2013-10-18"
"8.0-alpha5";"2013-11-19"
"8.0-alpha6";"2013-11-22"
"8.0-alpha7";"2013-12-18"
"8.0-alpha8";"2014-01-22"
"8.0-alpha9";"2014-02-19"
"8.0.0";"2015-11-19"
"8.0.0-alpha14";"2014-08-06"
"8.0.0-alpha15";"2014-09-19"
"8.0.0-beta1";"2014-10-01"
"8.0.0-beta10";"2015-04-29"
"8.0.0-beta11";"2015-05-27"
"8.0.0-beta12";"2015-06-29"
"8.0.0-beta13";"2015-07-29"
"8.0.0-beta14";"2015-08-03"
"8.0.0-beta15";"2015-09-04"
"8.0.0-beta16";"2015-10-02"
"8.0.0-beta2";"2014-10-15"
"8.0.0-beta3";"2014-11-12"
"8.0.0-beta4";"2014-12-17"
"8.0.0-beta6";"2015-01-28"
"8.0.0-beta7";"2015-02-25"
"8.0.0-beta9";"2015-03-25"
"8.0.0-rc1";"2015-10-07"
"8.0.0-rc2";"2015-10-21"
"8.0.0-rc3";"2015-11-04"
"8.0.0-rc4";"2015-11-13"
"8.0.1";"2015-12-02"
"8.0.2";"2016-01-06"
"8.0.3";"2016-02-03"
"8.0.4";"2016-02-24"
"8.0.5";"2016-03-02"
"8.0.6";"2016-04-05"
"8.0.x-dev";"2014-07-29"
"8.1.0";"2016-04-20"
"8.1.0-beta1";"2016-03-03"
"8.1.0-beta2";"2016-03-23"
"8.1.0-rc1";"2016-04-06"
"8.1.1";"2016-05-04"
"8.1.10";"2016-09-21"
"8.1.2";"2016-06-01"
"8.1.3";"2016-06-15"
"8.1.4";"2016-07-06"
"8.1.5";"2016-07-07"
"8.1.6";"2016-07-11"
"8.1.7";"2016-07-18"
"8.1.8";"2016-08-03"
"8.1.9";"2016-09-07"
"8.1.x-dev";"2014-07-29"
"8.2.0";"2016-10-05"
"8.2.0-beta1";"2016-08-03"
"8.2.0-beta2";"2016-08-20"
"8.2.0-beta3";"2016-08-26"
"8.2.0-rc1";"2016-09-07"
"8.2.0-rc2";"2016-09-21"
"8.2.1";"2016-10-11"
"8.2.2";"2016-11-02"
"8.2.3";"2016-11-16"
"8.2.4";"2016-12-07"
"8.2.5";"2017-01-04"
"8.2.6";"2017-02-01"
"8.2.7";"2017-03-15"
"8.2.8";"2017-04-19"
"8.2.x-dev";"2016-03-03"
"8.3.0";"2017-04-05"
"8.3.0-alpha1";"2017-02-01"
"8.3.0-beta1";"2017-02-15"
"8.3.0-rc1";"2017-03-01"
"8.3.0-rc2";"2017-03-15"
"8.3.1";"2017-04-19"
"8.3.2";"2017-05-03"
"8.3.3";"2017-06-07"
"8.3.4";"2017-06-21"
"8.3.5";"2017-07-05"
"8.3.6";"2017-08-02"
"8.3.7";"2017-08-16"
"8.3.8";"2018-03-12"
"8.3.9";"2018-03-28"
"8.3.x-dev";"2016-08-03"
"8.4.0";"2017-10-04"
"8.4.0-alpha1";"2017-08-03"
"8.4.0-beta1";"2017-08-17"
"8.4.0-rc1";"2017-09-06"
"8.4.0-rc2";"2017-09-20"
"8.4.1";"2017-11-01"
"8.4.2";"2017-11-03"
"8.4.3";"2017-12-06"
"8.4.4";"2018-01-03"
"8.4.5";"2018-02-21"
"8.4.6";"2018-03-28"
"8.4.7";"2018-04-18"
"8.4.8";"2018-04-25"
"8.4.x-dev";"2017-01-27"
"8.5.0";"2018-03-07"
"8.5.0-alpha1";"2018-01-19"
"8.5.0-beta1";"2018-02-09"
"8.5.0-rc1";"2018-02-21"
"8.5.1";"2018-03-28"
"8.5.10";"2019-01-16"
"8.5.11";"2019-02-20"
"8.5.12";"2019-03-13"
"8.5.13";"2019-03-14"
"8.5.14";"2019-03-20"
"8.5.15";"2019-04-17"
"8.5.2";"2018-04-18"
"8.5.3";"2018-04-25"
"8.5.4";"2018-06-06"
"8.5.5";"2018-07-04"
"8.5.6";"2018-08-01"
"8.5.7";"2018-09-05"
"8.5.8";"2018-10-17"
"8.5.9";"2019-01-16"
"8.5.x-dev";"2017-07-28"
"8.6.0";"2018-09-05"
"8.6.0-alpha1";"2018-07-19"
"8.6.0-beta1";"2018-08-03"
"8.6.0-beta2";"2018-08-03"
"8.6.0-rc1";"2018-08-17"
"8.6.1";"2018-09-10"
"8.6.10";"2019-02-20"
"8.6.11";"2019-03-13"
"8.6.12";"2019-03-14"
"8.6.13";"2019-03-20"
"8.6.14";"2019-04-08"
"8.6.15";"2019-04-17"
"8.6.16";"2019-05-08"
"8.6.17";"2019-06-17"
"8.6.18";"2019-11-13"
"8.6.2";"2018-10-17"
"8.6.3";"2018-11-07"
"8.6.4";"2018-12-05"
"8.6.5";"2019-01-02"
"8.6.6";"2019-01-16"
"8.6.7";"2019-01-16"
"8.6.8";"2019-02-06"
"8.6.9";"2019-02-08"
"8.6.x-dev";"2018-01-12"
"8.7.0";"2019-05-01"
"8.7.0-alpha1";"2019-03-14"
"8.7.0-alpha2";"2019-03-20"
"8.7.0-beta1";"2019-03-29"
"8.7.0-beta2";"2019-04-08"
"8.7.0-rc1";"2019-04-18"
"8.7.1";"2019-05-08"
"8.7.10";"2019-11-13"
"8.7.11";"2019-12-18"
"8.7.12";"2020-03-18"
"8.7.13";"2020-04-02"
