"version_full";"date (yyyy-mm-dd)"
"8.0.39";"2016-11-14"
"8.0.41";"2017-01-24"
"8.0.42";"2017-03-16"
"8.0.43";"2017-04-02"
"8.0.44";"2017-06-26"
"8.0.45";"2017-07-01"
"8.0.46";"2017-08-18"
"8.0.47";"2017-10-04"
"8.0.48";"2017-12-12"
"8.0.49";"2018-01-24"
"8.0.50";"2018-02-13"
"8.0.51";"2018-05-04"
"8.0.52";"2018-05-08"
"8.0.53";"2018-07-05"
"8.5.0";"2016-03-24"
"8.5.2";"2016-05-16"
"8.5.3";"2016-07-07"
"8.5.4";"2016-07-12"
"8.5.5";"2016-09-05"
"8.5.6";"2016-10-10"
"8.5.8";"2016-11-08"
"8.5.9";"2016-12-08"
"8.5.11";"2017-01-16"
"8.5.12";"2017-03-13"
"8.5.13";"2017-03-30"
"8.5.14";"2017-04-18"
"8.5.15";"2017-06-20"
"8.5.16";"2017-08-03"
"8.5.19";"2017-07-28"
"8.5.20";"2017-08-08"
"8.5.21";"2017-09-19"
"8.5.23";"2017-10-04"
"8.5.24";"2017-11-30"
"8.5.27";"2018-01-22"
"8.5.28";"2018-02-11"
"8.5.29";"2018-03-09"
"8.5.30";"2018-05-04"
"8.5.31";"2018-05-04"
"8.5.32";"2018-06-26"
"8.5.33";"2018-08-17"
"8.5.34";"2018-09-10"
"8.5.35";"2018-11-07"
"8.5.37";"2018-12-18"
"8.5.38";"2019-02-08"
"8.5.39";"2019-03-19"
"8.5.40";"2019-04-12"
"8.5.41";"2019-05-13"
"8.5.42";"2019-06-07"
"8.5.43";"2019-07-09"
"8.5.45";"2019-08-21"
"8.5.46";"2019-09-19"
"8.5.47";"2019-10-11"
"8.5.49";"2019-11-21"
"8.5.50";"2019-12-12"
"8.5.51";"2020-03-10"
"8.5.53";"2020-03-16"
"8.5.54";"2020-04-08"
"8.5.55";"2020-05-11"
"8.5.56";"2020-06-07"
"8.5.57";"2020-07-05"
"8.5.58";"2020-11-05"
"8.5.59";"2020-11-05"
"8.5.60";"2020-11-17"
"8.5.61";"2020-12-08"
"8.5.63";"2021-02-03"
"8.5.64";"2021-03-10"
"8.5.65";"2021-04-06"
"9.0.0-rc";"2017-03-31"
"9.0.0.M1";"2015-11-19"
"9.0.0.M3";"2016-02-05"
"9.0.0.M4";"2016-03-16"
"9.0.0.M6";"2016-05-16"
"9.0.0.M8";"2016-06-13"
"9.0.0.M9";"2016-07-12"
"9.0.0.M10";"2016-09-05"
"9.0.0.M11";"2016-10-10"
"9.0.0.M13";"2016-11-08"
"9.0.0.M15";"2016-12-08"
"9.0.0.M17";"2017-01-16"
"9.0.0.M18";"2017-03-13"
"9.0.0.M19";"2017-03-30"
"9.0.0.M20";"2017-04-18"
"9.0.0.M21";"2017-06-20"
"9.0.0.M22";"2017-06-26"
"9.0.0.M25";"2017-07-28"
"9.0.0.M26";"2017-08-08"
"9.0.0.M27";"2017-09-19"
"9.0.1";"2017-10-04"
"9.0.2";"2017-11-30"
"9.0.4";"2018-01-22"
"9.0.5";"2018-02-11"
"9.0.6";"2018-03-08"
"9.0.7";"2018-05-04"
"9.0.8";"2018-05-04"
"9.0.10";"2018-06-26"
"9.0.11";"2018-08-17"
"9.0.12";"2018-09-10"
"9.0.13";"2018-11-07"
"9.0.14";"2018-12-12"
"9.0.16";"2019-09-06"
"9.0.17";"2019-03-18"
"9.0.19";"2019-04-13"
"9.0.20";"2019-05-13"
"9.0.21";"2019-06-07"
"9.0.22";"2019-07-09"
"9.0.24";"2019-08-17"
"9.0.26";"2019-09-19"
"9.0.27";"2019-10-11"
"9.0.29";"2019-11-21"
"9.0.30";"2019-12-12"
"9.0.31";"2020-03-10"
"9.0.33";"2020-03-16"
"9.0.34";"2020-04-08"
"9.0.35";"2020-05-11"
"9.0.36";"2020-06-07"
"9.0.37";"2020-07-05"
"9.0.38";"2020-11-05"
"9.0.39";"2020-11-05"
"9.0.40";"2020-11-17"
"9.0.41";"2020-12-08"
"9.0.43";"2021-02-02"
"9.0.44";"2021-03-10"
"9.0.45";"2021-04-06"
"10.0.0";"2020-12-08"
"10.0.0-M1";"2020-03-10"
"10.0.0-M3";"2020-03-16"
"10.0.0-M4";"2020-04-08"
"10.0.0-M5";"2020-05-11"
"10.0.0-M6";"2020-06-07"
"10.0.0-M7";"2020-07-05"
"10.0.0-M8";"2020-11-05"
"10.0.0-M9";"2020-11-05"
"10.0.0-M10";"2020-11-17"
"10.0.2";"2021-02-02"
"10.0.4";"2021-03-10"
"10.0.5";"2021-04-06"
