"version_full";"date (yyyy-mm-dd)"
"24.8.1";"2014-09-24"
"25.0";"2013-08-06"
"25.0.1";"2013-11-15"
"26.0";"2013-09-17"
"26.0.0.20131217";"2013-12-17"
"26.0.0.20131218";"2013-12-18"
"26.0.1";"2013-12-20"
"27.0";"2013-10-29"
"27.0.1";"2014-02-13"
"28.0";"2013-12-10"
"28.0.1";"2014-03-24"
"29.0";"2014-02-04"
"29.0.1";"2014-05-09"
"30.0";"2014-03-18"
"31.0";"2014-04-29"
"31.1.0";"2014-09-02"
"31.1.1";"2014-09-24"
"31.2.0";"2014-10-14"
"31.3.0";"2014-12-01"
"31.4.0";"2015-01-13"
"31.5.0";"2015-02-24"
"31.5.2";"2015-03-20"
"31.5.3";"2015-03-21"
"31.6.0";"2015-03-31"
"31.7.0";"2015-05-12"
"31.8.0";"2015-07-02"
"32.0";"2014-06-10"
"32.0.1";"2014-09-02"
"32.0.2";"2014-09-18"
"32.0.3";"2014-09-24"
"33.0";"2014-07-22"
"33.0.1";"2014-10-24"
"33.0.2";"2014-10-28"
"33.0.3";"2014-11-06"
"33.1";"2014-11-10"
"33.1.1";"2014-11-14"
"34.0";"2014-09-02"
"34.0.5";"2014-12-01"
"34.0.5.20141222";"2014-12-22"
"35.0";"2014-10-14"
"35.0.1";"2015-01-13"
"36.0";"2014-12-05"
"36.0.1";"2015-01-15"
"36.0.2";"2015-03-16"
"36.0.3";"2015-03-20"
"36.0.4";"2015-03-21"
"37.0";"2015-01-16"
"37.0.0.20150401";"2015-04-01"
"37.0.1";"2015-04-03"
"37.0.2";"2015-04-03"
"38.0";"2015-02-27"
"38.0.1";"2015-05-12"
"38.0.5";"2015-06-02"
"38.0.6";"2015-06-09"
"38.1.0";"2015-07-02"
"38.1.1";"2015-08-06"
"38.2.0";"2015-08-11"
"38.2.1";"2015-08-27"
"38.3.0";"2015-09-22"
"38.4.0";"2015-11-03"
"38.5.0";"2015-12-15"
"38.5.1";"2015-12-21"
"38.5.2";"2015-12-22"
"38.6.0";"2016-01-26"
"38.6.1";"2016-02-11"
"38.7.0";"2016-03-08"
"38.7.1";"2016-03-16"
"38.8.0";"2016-04-26"
"39.0";"2015-04-03"
"39.0.3";"2015-08-06"
"40.0";"2015-05-15"
"40.0.2";"2015-08-13"
"40.0.3";"2015-08-27"
"41.0";"2015-07-02"
"41.0.1";"2015-09-30"
"41.0.2";"2015-10-15"
"42.0";"2015-08-14"
"43.0";"2015-09-22"
"43.0.1";"2015-12-18"
"43.0.1.20151220";"2015-12-20"
"43.0.2";"2015-12-22"
"43.0.2.20151214";"2015-12-24"
"43.0.3";"2015-12-28"
"43.0.4";"2016-01-06"
"44.0";"2015-11-03"
"44.0.1";"2016-02-08"
"44.0.2";"2016-02-11"
"45.0";"2015-12-15"
"45.0.1";"2016-03-16"
"45.0.2";"2016-04-11"
"45.1.0";"2016-04-26"
"45.1.1";"2016-05-03"
"45.2.0";"2016-06-07"
"45.3.0";"2016-08-02"
"45.4.0";"2016-09-20"
"45.5.0";"2016-11-15"
"45.5.1";"2016-11-30"
"45.6.0";"2016-12-13"
"45.7.0";"2017-01-24"
"45.8.0";"2017-03-07"
"45.9.0";"2017-04-19"
"46.0";"2016-01-26"
"46.0.1";"2016-05-03"
"47.0";"2016-03-08"
"47.0.1";"2016-06-28"
"47.0.2";"2016-11-01"
"48.0";"2016-04-25"
"48.0.1";"2016-08-18"
"48.0.2";"2016-08-24"
"49.0";"2016-06-06"
"49.0.1";"2016-09-23"
"49.0.2";"2016-10-20"
"49.0.2.20161023";"2016-10-23"
"49.0.2.20161024";"2016-10-24"
"50.0";"2016-08-01"
"50.0.1";"2016-11-28"
"50.0.1.20161130";"2016-11-30"
"50.0.2";"2016-11-30"
"50.1.0";"2016-12-13"
"51.0";"2016-09-19"
"51.0.1";"2017-01-26"
"51.0.2";"2017-02-06"
"51.0.3";"2017-02-09"
"52.0";"2016-11-14"
"52.0.1";"2017-03-17"
"52.0.2";"2017-03-28"
"52.1.0";"2017-04-19"
"52.1.1";"2017-05-05"
"52.1.2";"2017-05-19"
"52.2.0";"2017-06-13"
"52.2.1";"2017-06-29"
"52.3.0";"2017-08-08"
"52.4.0";"2017-09-28"
"52.4.1";"2017-10-09"
"52.5.0";"2017-11-14"
"52.5.2";"2017-12-07"
"52.5.3";"2017-12-28"
"52.6.0";"2018-01-23"
"52.7.0";"2018-03-13"
"52.7.1";"2018-03-14"
"52.7.2";"2018-03-16"
"52.7.3";"2018-03-26"
"52.7.4";"2018-04-30"
"52.8.0";"2018-05-09"
"52.8.1";"2018-06-06"
"52.9.0";"2018-06-26"
"53.0";"2017-01-23"
"53.0.1";"2017-04-27"
"53.0.2";"2017-05-05"
"53.0.3";"2017-05-19"
"54.0";"2017-03-06"
"54.0.1";"2017-06-29"
"55.0";"2017-06-14"
"55.0.1";"2017-08-10"
"55.0.2";"2017-08-16"
"55.0.3";"2017-08-25"
"56.0";"2017-08-08"
"56.0.1";"2017-10-09"
"56.0.2";"2017-10-26"
"57.0";"2017-09-20"
"57.0.0.20171115";"2017-11-15"
"57.0.1";"2017-11-29"
"57.0.2";"2017-12-07"
"57.0.3";"2017-12-28"
"57.0.4";"2018-01-04"
"58.0";"2017-11-08"
"58.0.1";"2018-01-29"
"58.0.2";"2018-02-07"
"59.0";"2018-01-22"
"59.0.1";"2018-03-16"
"59.0.2";"2018-03-26"
"59.0.3";"2018-04-30"
"60.0";"2018-03-05"
"60.0.1";"2018-05-16"
"60.0.2";"2018-06-06"
"60.1.0";"2018-06-26"
"60.2.0";"2018-09-05"
"60.2.1";"2018-09-21"
"60.2.2";"2018-10-02"
"60.3";"2018-10-23"
"60.4";"2018-12-11"
"60.5";"2019-01-29"
"60.6";"2019-03-19"
"60.7";"2019-05-14"
"60.8";"2019-07-09"
"60.9";"2019-09-03"
"61.0";"2018-05-02"
"61.0.1";"2018-07-05"
"61.0.2";"2018-08-08"
"62.0";"2018-06-19"
"62.0.1";"2018-09-07"
"62.0.2";"2018-09-21"
"62.0.3";"2018-10-02"
"63.0";"2018-08-27"
"63.0.1";"2018-10-31"
"63.0.2";"2018-11-07"
"63.0.3";"2018-11-15"
"64.0";"2018-10-16"
"64.0.1";"2018-12-14"
"64.0.2";"2019-01-09"
"65.0";"2019-01-29"
"65.0.1";"2019-02-13"
"65.0.2";"2019-03-01"
"66.0";"2019-03-19"
"66.0.1";"2019-03-22"
"66.0.2";"2019-03-27"
"66.0.3";"2019-04-10"
"66.0.4";"2019-05-06"
"66.0.5";"2019-05-08"
"67.0";"2019-05-22"
"67.0.1";"2019-06-04"
"67.0.2";"2019-06-11"
"67.0.3";"2019-06-18"
"67.0.4";"2019-06-20"
"68.0";"2019-07-09"
"68.0.1";"2019-07-18"
"68.0.2";"2019-08-14"
"69.0";"2019-09-03"
"69.0.1";"2019-09-18"
"69.0.2";"2019-10-03"
"69.0.3";"2019-10-10"
"70.0";"2019-10-22"
"70.0.1";"2019-10-31"
"71.0";"2019-12-03"
"72.0";"2020-01-07"
