"version_full";"version_short";"description";"date (yyyy-mm-dd)"
"15.01.1913.012";"15.1.1913.12";"Exchange Server 2016 CU15 Mar21SU";"2021-03-02"
"15.01.1979.003";"15.1.1979.3";"Exchange Server 2016 CU16";"2020-03-17"
"15.01.1979.006";"15.1.1979.6";"Security Update for Exchange Server 2016 CU16 (KB4577352)";"2020-09-08"
"15.01.1979.008";"15.1.1979.8";"Exchange Server 2016 CU16 Mar21SU";"2021-03-02"
"15.01.2044.004";"15.1.2044.4";"Exchange Server 2016 CU17";"2020-06-16"
"15.01.2044.006";"15.1.2044.6";"Security Update for Exchange Server 2016 CU17 (KB4577352)";"2020-09-08"
"15.01.2044.007";"15.1.2044.7";"Security Update for Exchange Server 2016 CU17 (KB4581424)";"2020-10-13"
"15.01.2044.008";"15.1.2044.8";"Security Update for Exchange Server 2016 CU17 (KB4588741)";"2020-11-10"
"15.01.2044.012";"15.1.2044.12";"Security Update for Exchange Server 2016 CU17 (KB4593465)";"2020-12-08"
"15.01.2044.013";"15.1.2044.13";"Exchange Server 2016 CU17 Mar21SU";"2021-03-02"
"15.01.2106.002";"15.1.2106.2";"Exchange Server 2016 CU18";"2020-09-15"
"15.01.2106.003";"15.1.2106.3";"Security Update for Exchange Server 2016 CU18 (KB4581424)";"2020-10-13"
"15.01.2106.004";"15.1.2106.4";"Security Update for Exchange Server 2016 CU17 (KB4588741)";"2020-11-10"
"15.01.2106.006";"15.1.2106.6";"Security Update for Exchange Server 2016 CU18 (KB4593465)";"2020-12-08"
"15.01.2106.008";"15.1.2106.8";"Security Update for Exchange Server 2016 CU18 (KB4602269)";"2021-02-09"
"15.01.2106.013";"15.1.2106.13";"Exchange Server 2016 CU18 Mar21SU";"2021-03-02"
"15.01.2176.002";"15.1.2176.2";"Exchange Server 2016 CU19";"2020-12-15"
"15.01.2176.004";"15.1.2176.4";"Security Update for Exchange Server 2016 CU19 (KB4602269)";"2021-02-09"
"15.01.2176.009";"15.1.2176.9";"Exchange Server 2016 CU19 Mar21SU";"2021-03-02"
"15.01.2176.012";"15.1.2176.12";"Exchange Server 2016 CU19 Apr21SU";"2021-04-13"
"15.01.2176.014";"15.1.2176.14";"Exchange Server 2016 CU19 May21SU";"2021-05-11"
"15.01.2242.004";"15.1.2242.4";"Exchange Server 2016 CU20";"2021-03-16"
"15.01.2242.008";"15.1.2242.8";"Exchange Server 2016 CU20 Apr21SU";"2021-04-13"
"15.01.2242.010";"15.1.2242.10";"Exchange Server 2016 CU20 May21SU";"2021-05-11"
"15.01.2242.012";"15.1.2242.12";"Exchange Server 2016 CU20 Jul21SU";"2021-07-13"
"15.01.2308.008";"15.1.2308.8";"Exchange Server 2016 CU21";"2021-06-29"
"15.01.2308.014";"15.1.2308.14";"Exchange Server 2016 CU21 Jul21SU";"2021-07-13"
"15.01.2308.015";"15.1.2308.15";"Exchange Server 2016 CU21 Oct21SU";"2021-10-12"
"15.01.2308.020";"15.1.2308.20";"Exchange Server 2016 CU21 Nov21SU";"2021-11-09"
"15.01.2308.021";"15.1.2308.21";"Exchange Server 2016 CU21 Jan22SU";"2022-01-11"
"15.01.2308.027";"15.1.2308.27";"Exchange Server 2016 CU21 Mar22SU";"2022-03-08"
"15.01.2375.007";"15.1.2375.7";"Exchange Server 2016 CU22";"2021-09-28"
"15.01.2375.012";"15.1.2375.12";"Exchange Server 2016 CU22 Oct21SU";"2021-10-12"
"15.01.2375.017";"15.1.2375.17";"Exchange Server 2016 CU22 Nov21SU";"2021-11-09"
"15.01.2375.018";"15.1.2375.18";"Exchange Server 2016 CU22 Jan22SU";"2022-01-11"
"15.01.2375.024";"15.1.2375.24";"Exchange Server 2016 CU22 Mar22SU";"2022-03-08"
"15.01.2375.028";"15.1.2375.28";"Exchange Server 2016 CU22 May22SU";"2022-05-10"
"15.01.2375.031";"15.1.2375.31";"Exchange Server 2016 CU22 Aug22SU";"2022-08-09"
"15.01.2375.032";"15.1.2375.32";"Exchange Server 2016 CU22 Oct22SU";"2022-10-11"
"15.01.2375.037";"15.1.2375.37";"Exchange Server 2016 CU22 Nov22SU";"2022-11-08"
"15.01.2507.006";"15.1.2507.6";"Exchange Server 2016 CU23 (2022H1)";"2022-04-20"
"15.01.2507.009";"15.1.2507.9";"Exchange Server 2016 CU23 May22SU";"2022-05-10"
"15.01.2507.012";"15.1.2507.12";"Exchange Server 2016 CU23 Aug22SU";"2022-08-09"
"15.01.2507.013";"15.1.2507.13";"Exchange Server 2016 CU23 Oct22SU";"2022-10-11"
"15.01.2507.016";"15.1.2507.16";"Exchange Server 2016 CU23 Nov22SU";"2022-11-08"
"15.01.2507.017";"15.1.2507.17";"Exchange Server 2016 CU23 Jan23SU";"2023-01-10"
"15.01.2507.021";"15.1.2507.21";"Exchange Server 2016 CU23 Feb23SU";"2023-02-14"
"15.01.2507.023";"15.1.2507.23";"Exchange Server 2016 CU23 Mar23SU";"2023-03-14"
"15.01.2507.027";"15.1.2507.27";"Exchange Server 2016 CU23 Jun23SU";"2023-06-13"
"15.01.2507.031";"15.1.2507.31";"Exchange Server 2016 CU23 Aug23SU";"2023-08-08"
"15.01.2507.032";"15.1.2507.32";"Exchange Server 2016 CU23 Aug23SUv2";"2023-08-15"
"15.01.2507.034";"15.1.2507.34";"Exchange Server 2016 CU23 Oct23SU";"2023-10-10"
"15.01.2507.035";"15.1.2507.35";"Exchange Server 2016 CU23 Nov23SU";"2023-11-14"
"15.01.2507.037";"15.1.2507.37";"Exchange Server 2016 CU23 Mar24SU";"2024-03-12"
"15.01.2507.039";"15.1.2507.39";"Exchange Server 2016 CU23 Apr24HU";"2024-04-23"
"15.02.0196.000";"15.2.196.0";"Exchange Server 2019 Preview";"2018-07-24"
"15.02.0221.012";"15.2.221.12";"Exchange Server 2019 RTM";"2018-10-22"
"15.02.0221.012​";"15.2.221.12​";"Exchange Server 2019 RTM";"2018-10-22"
"15.02.0221.014";"15.2.221.14";"Security Update for Exchange Server 2019 RTM (KB4471389)";"2019-01-09"
"15.02.0221.016";"15.2.221.16";"Security Update for Exchange Server 2019 RTM (KB4487563)";"2019-04-09"
"15.02.0221.017";"15.2.221.17";"Security Update for Exchange Server 2019 RTM (KB4503027)";"2019-06-11"
"15.02.0221.018";"15.2.221.18";"Exchange Server 2019 RTM Mar21SU";"2021-03-02"
"15.02.0330.005";"15.2.330.5";"Exchange Server 2019 CU1";"2019-02-12"
"15.02.0330.006";"15.2.330.6";"CU1 for Exchange Server 2019 RTM (KB4471391)";"2019-02-12"
"15.02.0330.007";"15.2.330.7";"Security Update for Exchange Server 2019 CU1 (KB4487563)";"2019-04-09"
"15.02.0330.008";"15.2.330.8";"Security Update for Exchange Server 2019 CU1 (KB4503027)";"2019-06-11"
"15.02.0330.009";"15.2.330.9";"Security Update for Exchange Server 2019 CU1 (KB4509408)";"2019-07-09"
"15.02.0330.011";"15.2.330.11";"Exchange Server 2019 CU1 Mar21SU";"2021-03-02"
"15.02.0397.003";"15.2.397.3";"Exchange Server 2019 CU2";"2019-06-18"
"15.02.0397.005";"15.2.397.5";"Security Update for Exchange Server 2019 CU2 (KB4509408)";"2019-07-09"
"15.02.0397.009";"15.2.397.9";"Security Update for Exchange Server 2019 CU2 (KB4523171)";"2019-11-12"
"15.02.0397.011";"15.2.397.11";"Exchange Server 2019 CU2 Mar21SU";"2021-03-02"
"15.02.0464.005";"15.2.464.5";"Exchange Server 2019 CU3";"2019-09-17"
"15.02.0464.007";"15.2.464.7";"Security Update for Exchange Server 2019 CU3 (KB4523171)";"2019-11-12"
"15.02.0464.011";"15.2.464.11";"Security Update for Exchange Server 2019 CU3 (KB4536987)";"2020-02-11"
"15.02.0464.014";"15.2.464.14";"Security Update for Exchange Server 2019 CU3 (KB4540123)";"2020-03-10"
"15.02.0464.015";"15.2.464.15";"Exchange Server 2019 CU3 Mar21SU";"2021-03-02"
"15.02.0529.005";"15.2.529.5";"Exchange Server 2019 CU4";"2019-12-17"
"15.02.0529.008";"15.2.529.8";"Security Update for Exchange Server 2019 CU4 (KB4536987)";"2020-02-11"
"15.02.0529.011";"15.2.529.11";"Security Update for Exchange Server 2019 CU4 (KB4540123)";"2020-03-10"
"15.02.0529.013";"15.2.529.13";"Exchange Server 2019 CU4 Mar21SU";"2021-03-02"
"15.02.0595.003";"15.2.595.3";"Exchange Server 2019 CU5";"2020-03-17"
"15.02.0595.006";"15.2.595.6";"Security Update for Exchange Server 2019 CU5 (KB4577352)";"2020-09-08"
"15.02.0595.008";"15.2.595.8";"Exchange Server 2019 CU5 Mar21SU";"2021-03-02"
"15.02.0659.004";"15.2.659.4";"Exchange Server 2019 CU6";"2020-06-16"
"15.02.0659.006";"15.2.659.6";"Security Update for Exchange Server 2019 CU6 (KB4577352)";"2020-09-08"
"15.02.0659.007";"15.2.659.7";"Security Update for Exchange Server 2019 CU6 (KB4581424)";"2020-10-13"
"15.02.0659.008";"15.2.659.8";"Security Update for Exchange Server 2019 CU6 (KB4588741)";"2020-11-10"
"15.02.0659.011";"15.2.659.11";"Security Update for Exchange Server 2019 CU6 (KB4593465)";"2020-12-08"
"15.02.0659.012";"15.2.659.12";"Exchange Server 2019 CU6 Mar21SU";"2021-03-02"
"15.02.0721.002";"15.2.721.2";"Exchange Server 2019 CU7";"2020-09-15"
"15.02.0721.003";"15.2.721.3";"Security Update for Exchange Server 2019 CU7 (KB4581424)";"2020-10-13"
"15.02.0721.004";"15.2.721.4";"Security Update for Exchange Server 2019 CU7 (KB4588741)";"2020-11-10"
"15.02.0721.006";"15.2.721.6";"Security Update for Exchange Server 2019 CU7 (KB4593465)";"2020-12-08"
"15.02.0721.008";"15.2.721.8";"Security Update for Exchange Server 2019 CU7 (KB4602269)";"2021-02-09"
"15.02.0721.013";"15.2.721.13";"Exchange Server 2019 CU7 Mar21SU";"2021-03-02"
"15.02.0792.003";"15.2.792.3";"Exchange Server 2019 CU8";"2020-12-15"
"15.02.0792.005";"15.2.792.5";"Security Update for Exchange Server 2019 CU8 (KB4602269)";"2021-02-09"
"15.02.0792.010";"15.2.792.10";"Exchange Server 2019 CU8 Mar21SU";"2021-03-02"
"15.02.0792.013";"15.2.792.13";"Exchange Server 2019 CU8 Apr21SU";"2021-04-13"
"15.02.0792.015";"15.2.792.15";"Exchange Server 2019 CU8 May21SU";"2021-05-11"
"15.02.0858.005";"15.2.858.5";"Exchange Server 2019 CU9";"2021-03-16"
"15.02.0858.010";"15.2.858.10";"Exchange Server 2019 CU9 Apr21SU";"2021-04-13"
"15.02.0858.012";"15.2.858.12";"Exchange Server 2019 CU9 May21SU";"2021-05-11"
"15.02.0858.015";"15.2.858.15";"Exchange Server 2019 CU9 Jul21SU";"2021-07-13"
"15.02.0922.007";"15.2.922.7";"Exchange Server 2019 CU10";"2021-06-29"
"15.02.0922.013";"15.2.922.13";"Exchange Server 2019 CU10 Jul21SU";"2021-07-13"
"15.02.0922.014";"15.2.922.14";"Exchange Server 2019 CU10 Oct21SU";"2021-10-12"
"15.02.0922.019";"15.2.922.19";"Exchange Server 2019 CU10 Nov21SU";"2021-11-09"
"15.02.0922.020";"15.2.922.20";"Exchange Server 2019 CU10 Jan22SU";"2022-01-11"
"15.02.0922.027";"15.2.922.27";"Exchange Server 2019 CU10 Mar22SU";"2022-03-08"
"15.02.0986.005";"15.2.986.5";"Exchange Server 2019 CU11";"2021-09-28"
"15.02.0986.009";"15.2.986.9";"Exchange Server 2019 CU11 Oct21SU";"2021-10-12"
"15.02.0986.014";"15.2.986.14";"Exchange Server 2019 CU11 Nov21SU";"2021-11-09"
"15.02.0986.015";"15.2.986.15";"Exchange Server 2019 CU11 Jan22SU";"2022-01-11"
"15.02.0986.022";"15.2.986.22";"Exchange Server 2019 CU11 Mar22SU";"2022-03-08"
"15.02.0986.026";"15.2.986.26";"Exchange Server 2019 CU11 May22SU";"2022-05-10"
"15.02.0986.029";"15.2.986.29";"Exchange Server 2019 CU11 Aug22SU";"2022-08-09"
"15.02.0986.030";"15.2.986.30";"Exchange Server 2019 CU11 Oct22SU";"2022-10-11"
"15.02.0986.036";"15.2.986.36";"Exchange Server 2019 CU11 Nov22SU";"2022-11-08"
"15.02.0986.037";"15.2.986.37";"Exchange Server 2019 CU11 Jan23SU";"2023-01-10"
"15.02.0986.041";"15.2.986.41";"Exchange Server 2019 CU11 Feb23SU";"2023-02-14"
"15.02.0986.042";"15.2.986.42";"Exchange Server 2019 CU11 Mar23SU";"2023-03-14"
"15.02.1118.007";"15.2.1118.7";"Exchange Server 2019 CU12 (2022H1)";"2022-04-20"
"15.02.1118.009";"15.2.1118.9";"Exchange Server 2019 CU12 May22SU";"2022-05-10"
"15.02.1118.012";"15.2.1118.12";"Exchange Server 2019 CU12 Aug22SU";"2022-08-09"
"15.02.1118.015";"15.2.1118.15";"Exchange Server 2019 CU12 Oct22SU";"2022-10-11"
"15.02.1118.020";"15.2.1118.20";"Exchange Server 2019 CU12 Nov22SU";"2022-11-08"
"15.02.1118.021";"15.2.1118.21";"Exchange Server 2019 CU12 Jan23SU";"2023-01-10"
"15.02.1118.025";"15.2.1118.25";"Exchange Server 2019 CU12 Feb23SU";"2023-02-14"
"15.02.1118.026";"15.2.1118.26";"Exchange Server 2019 CU12 Mar23SU";"2023-03-14"
"15.02.1118.030";"15.2.1118.30";"Exchange Server 2019 CU12 Jun23SU";"2023-06-13"
"15.02.1118.036";"15.2.1118.36";"Exchange Server 2019 CU12 Aug23SU";"2023-08-08"
"15.02.1118.037";"15.2.1118.37";"Exchange Server 2019 CU12 Aug23SUv2";"2023-08-15"
"15.02.1118.039";"15.2.1118.39";"Exchange Server 2019 CU12 Oct23SU";"2023-10-10"
"15.02.1118.040";"15.2.1118.40";"Exchange Server 2019 CU12 Nov23SU";"2023-11-14"
"15.02.1258.012";"15.2.1258.12";"Exchange Server 2019 CU13 (2023H1)";"2023-05-03"
"15.02.1258.016";"15.2.1258.16";"Exchange Server 2019 CU13 Jun23SU";"2023-06-13"
"15.02.1258.023";"15.2.1258.23";"Exchange Server 2019 CU13 Aug23SU";"2023-08-08"
"15.02.1258.025";"15.2.1258.25";"Exchange Server 2019 CU13 Aug23SUv2";"2023-08-15"
"15.02.1258.027";"15.2.1258.27";"Exchange Server 2019 CU13 Oct23SU";"2023-10-10"
"15.02.1258.028";"15.2.1258.28";"Exchange Server 2019 CU13 Nov23SU";"2023-11-14"
"15.02.1258.032";"15.2.1258.32";"Exchange Server 2019 CU13 Mar24SU";"2024-03-12"
"15.02.1258.034";"15.2.1258.34";"Exchange Server 2019 CU13 Apr24HU";"2024-04-23"
"15.02.1544.004";"15.2.1544.04";"Exchange Server 2019 CU14 (2024H1)";"2024-02-13"
"15.02.1544.009";"15.2.1544.9";"Exchange Server 2019 CU14 Mar24SU";"2024-03-12"
"15.02.1544.011";"15.2.1544.11";"Exchange Server 2019 CU14 Apr24HU";"2024-04-23"
