"version_full";"version_short";"description";"date (yyyy-mm-dd)"
"8.03.0298.003";"8.3.298.3";"Update Rollup 10 for Exchange Server 2007 SP3";"2013-02-11"
"8.03.0327.001";"8.3.327.1";"Update Rollup 11 for Exchange Server 2007 SP3";"2013-08-13"
"8.03.0342.004";"8.3.342.4";"Update Rollup 12 for Exchange Server 2007 SP3";"2013-12-09"
"8.03.0348.002";"8.3.348.2";"Update Rollup 13 for Exchange Server 2007 SP3";"2014-02-24"
"8.03.0379.002";"8.3.379.2";"Update Rollup 14 for Exchange Server 2007 SP3";"2014-08-26"
"8.03.0389.002";"8.3.389.2";"Update Rollup 15 for Exchange Server 2007 SP3";"2014-12-09"
"8.03.0406.000";"8.3.406.0";"Update Rollup 16 for Exchange Server 2007 SP3";"2015-03-17"
"8.03.0417.001";"8.3.417.1";"Update Rollup 17 forExchange Server 2007 SP3";"2015-06-17"
"8.03.0445.000";"8.3.445.0";"Update Rollup 18 forExchange Server 2007 SP3";"December, 2015"
"8.03.0459.000";"8.3.459.0";"Update Rollup 19 forExchange Server 2007 SP3";"2016-03-15"
"8.03.0468.000";"8.3.468.0";"Update Rollup 20 for Exchange Server 2007 SP3";"2016-06-21"
"8.03.0485.001";"8.3.485.1";"Update Rollup 21 for Exchange Server 2007 SP3";"2016-09-20"
"8.03.0502.000";"8.3.502.0";"Update Rollup 22 for Exchange Server 2007 SP3";"2016-12-13"
"8.03.0517.000";"8.3.517.0";"Update Rollup 23 for Exchange Server 2007 SP3";"2017-03-21"
"14.00.0639.021";"14.0.639.21";"Exchange Server 2010 RTM";"2009-11-09"
"14.00.0682.001";"14.0.682.1";"Update Rollup 1 for Exchange Server 2010";"2009-12-09"
"14.00.0689.000";"14.0.689.0";"Update Rollup 2 for Exchange Server 2010";"2010-03-04"
"14.00.0694.000";"14.0.694.0";"Update Rollup 3 for Exchange Server 2010";"2010-04-13"
"14.00.0702.001";"14.0.702.1";"Update Rollup 4 for Exchange Server 2010";"2010-06-10"
"14.00.0726.000";"14.0.726.0";"Update Rollup 5 for Exchange Server 2010";"2010-12-13"
"14.01.0218.015";"14.1.218.15";"Exchange Server 2010 SP1";"2010-08-23"
"14.01.0255.002";"14.1.255.2";"Update Rollup 1 for Exchange Server 2010 SP1";"2010-10-04"
"14.01.0270.001";"14.1.270.1";"Update Rollup 2 for Exchange Server 2010 SP1";"2010-12-09"
"14.01.0289.007";"14.1.289.7";"Update Rollup 3 for Exchange Server 2010 SP1";"2011-04-06"
"14.01.0323.006";"14.1.323.6";"Update Rollup 4 for Exchange Server 2010 SP1";"2011-07-27"
