"version_full";"date (yyyy-mm-dd)"
"56.0.2924.87001";"2017-03-01"
"57.0.2987";"2017-03-09"
"57.0.2987.98";"2017-03-10"
"57.0.2987.110";"2017-03-17"
"57.0.2987.133";"2017-03-30"
"57.0.2987.13301";"2017-04-14"
"58.0.3029";"2017-04-19"
"58.0.3029.81";"2017-04-19"
"58.0.3029.96";"2017-05-03"
"58.0.3029.110";"2017-05-09"
"59.0.3071";"2017-06-05"
"59.0.3071.86";"2017-06-06"
"59.0.3071.104";"2017-06-16"
"59.0.3071.109";"2017-06-21"
"59.0.3071.115";"2017-06-26"
"60.0.3112";"2017-07-25"
"60.0.3112.78";"2017-07-26"
"60.0.3112.90";"2017-08-03"
"60.0.3112.101";"2017-08-14"
"60.0.3112.113";"2017-08-24"
"61.0.3163";"2017-09-05"
"61.0.3163.79";"2017-09-06"
"61.0.3163.91";"2017-09-15"
"61.0.3163.100";"2017-09-22"
"62.0.3202";"2017-10-17"
"62.0.3202.62";"2017-10-18"
"62.0.3202.75";"2017-10-27"
"62.0.3202.89";"2017-11-06"
"62.0.3202.94";"2017-11-14"
"63.0.3239";"2017-12-05"
"63.0.3239.84";"2017-12-07"
"63.0.3239.108";"2017-12-15"
"63.0.3239.132";"2018-01-05"
"64.0.3282";"2018-01-23"
"64.0.3282.11900";"2018-01-24"
"64.0.3282.14000";"2018-02-02"
"64.0.3282.16700";"2018-02-14"
"64.0.3282.16800";"2018-02-14"
"64.0.3282.18600";"2018-02-23"
"65.0.3325";"2018-03-06"
"65.0.3325.14600";"2018-03-07"
"65.0.3325.16200";"2018-03-14"
"65.0.3325.18100";"2018-03-21"
"66.0.3359";"2018-04-17"
"66.0.3359.11700";"2018-04-18"
"66.0.3359.13900";"2018-04-27"
"66.0.3359.17000";"2018-05-11"
"66.0.3359.18100";"2018-05-15"
"67.0.3396";"2018-05-29"
"67.0.3396.6200";"2018-05-30"
"67.0.3396.7900";"2018-06-06"
"67.0.3396.8700";"2018-06-12"
"67.0.3396.9900";"2018-06-25"
"68.0.3440";"2018-07-24"
"68.0.3440.7500";"2018-07-25"
"68.0.3440.8400";"2018-08-01"
"68.0.3440.10600";"2018-08-09"
"69.0.3497";"2018-09-04"
"69.0.3497.8100";"2018-09-05"
"69.0.3497.9200";"2018-09-12"
"69.0.3497.10000";"2018-09-18"
"70.0.3538";"2018-10-16"
"70.0.3538.6700";"2018-10-17"
"70.0.3538.7700";"2018-10-25"
"70.0.3538.10200";"2018-11-10"
"70.0.3538.11000";"2018-11-19"
"71.0.3578";"2018-12-04"
"71.0.3578.80";"2018-12-05"
"71.0.3578.98";"2018-12-13"
"72.0.3626";"2019-01-29"
"72.0.3626.81";"2019-01-30"
"72.0.3626.96";"2019-02-07"
"72.0.3626.109";"2019-02-14"
"72.0.3626.119";"2019-02-22"
"72.0.3626.121";"2019-03-02"
"73.0.3683";"2019-03-12"
"73.0.3683.75";"2019-03-13"
"73.0.3683.86";"2019-03-21"
"73.0.3683.103";"2019-04-05"
"74.0.3729";"2019-04-23"
"74.0.3729.108";"2019-04-24"
"74.0.3729.131";"2019-05-01"
"74.0.3729.157";"2019-05-14"
"74.0.3729.169";"2019-05-22"
"75.0.3770";"2019-06-04"
"75.0.3770.80";"2019-06-04"
"75.0.3770.90";"2019-06-13"
"75.0.3770.100";"2019-06-18"
"75.0.3770.142";"2019-07-16"
"76.0.3809";"2019-07-30"
"76.0.3809.87";"2019-07-31"
"76.0.3809.100";"2019-08-07"
"76.0.3809.132";"2019-08-27"
"77.0.3865";"2019-09-10"
"77.0.3865.75";"2019-09-11"
"77.0.3865.90";"2019-09-18"
"77.0.3865.120";"2019-10-10"
"78.0.3904";"2019-10-22"
"78.0.3904.70";"2019-10-22"
"78.0.3904.87";"2019-11-01"
"78.0.3904.97";"2019-11-07"
"78.0.3904.108";"2019-11-19"
"79.0.3945";"2019-12-10"
"79.0.3945.79";"2019-12-11"
"79.0.3945.88";"2019-12-18"
"79.0.3945.117";"2020-01-08"
"79.0.3945.130";"2020-01-17"
"80.0.3987";"2019-12-11"
"81.0";"2019-12-12"
